genre,count
book_list,299
recognition_general,246
primary_genre,215
inspiration_source,204
family_background_general,186
gender_identity,162
writing_style,153
author_full_name,150
other_unclear,143
theme_general,138
book_plot_summary,132
parent_both_occupations,122
upbringing_influence,99
literary_impact,87
career_literary_activity,75
birth_date,74
character_or_protagonist,62
award_for_specific_work,60
book_title_single,60
publication_history,56
birth_place,51
reader_reception,49
award_name,47
education_training,42
adaptation_film_tv,41
stylistic_evolution,41
writing_process,40
critical_reception,39
subject_matter,39
future_plan,38
pseudonym_language_translation,38
series_trilogy_sequel,38
collaboration,37
debut_book,37
life_experience_influence,36
heritage_roots,32
most_popular_book,31
book_count_or_catalog,30
father_occupation,29
mother_occupation,29
author_identity_who_is,27
genre_exclusivity,25
reception_general,24
personal_life_general,23
prize_honor_accolade,22
career_start,21
upcoming_work,21
book_impact_or_representation,20
cultural_background,20
early_life_place,20
latest_book,20
other_genres,20
birth_date_and_place,19
most_acclaimed_work,17
social_issue,17
legacy,16
narrative_style,15
criticism_or_controversy,14
literary_events,14
message_or_commentary,14
marital_children_siblings,13
research_process,12
ambiguous_multi_intent,11
book_real_life_basis,10
motif_symbolism,10
reader_engagement,10
book_quote_scene,9
hobbies_fun_fact,9
genre_known_for,7
social_media_or_contact,7
award_year,6
current_residence,6
writing_habit,6
activism_or_advocacy,4
cultural_impact,4
