method,epoch,unlearn_retain_sa_year_of_birth,unlearn_retain_sa_address_postcode,unlearn_retain_sa_social_insurance_number,unlearn_retain_sa_blood_type,recovery_retain_sa_flip0_year_of_birth,recovery_retain_sa_flip0_address_postcode,recovery_retain_sa_flip0_social_insurance_number,recovery_retain_sa_flip0_blood_type,unlearn_remain_sa_year_of_birth,unlearn_remain_sa_address_postcode,unlearn_remain_sa_social_insurance_number,unlearn_remain_sa_blood_type,unlearn_forget_year_of_birth,unlearn_forget_address_postcode,unlearn_forget_social_insurance_number,unlearn_forget_blood_type,recovery_forget_flip0_year_of_birth,recovery_forget_flip0_address_postcode,recovery_forget_flip0_social_insurance_number,recovery_forget_flip0_blood_type,recovery_forget_flip1_year_of_birth,recovery_forget_flip1_address_postcode,recovery_forget_flip1_social_insurance_number,recovery_forget_flip1_blood_type,recovery_forget_beam0_K10_C3_year_of_birth,recovery_forget_beam0_K10_C3_address_postcode,recovery_forget_beam0_K10_C3_social_insurance_number,recovery_forget_beam0_K10_C3_blood_type,recovery_forget_beam1_K10_C3_year_of_birth,recovery_forget_beam1_K10_C3_address_postcode,recovery_forget_beam1_K10_C3_social_insurance_number,recovery_forget_beam1_K10_C3_blood_type,recovery_retain_sa_flip_logit-0_year_of_birth,recovery_retain_sa_flip_logit-0_address_postcode,recovery_retain_sa_flip_logit-0_social_insurance_number,recovery_retain_sa_flip_logit-0_blood_type,recovery_forget_flip_logit-1_year_of_birth,recovery_forget_flip_logit-1_address_postcode,recovery_forget_flip_logit-1_social_insurance_number,recovery_forget_flip_logit-1_blood_type,recovery_forget_beam0_K10_C10_year_of_birth,recovery_forget_beam0_K10_C10_address_postcode,recovery_forget_beam0_K10_C10_social_insurance_number,recovery_forget_beam0_K10_C10_blood_type,recovery_forget_beam1_K10_C10_year_of_birth,recovery_forget_beam1_K10_C10_address_postcode,recovery_forget_beam1_K10_C10_social_insurance_number,recovery_forget_beam1_K10_C10_blood_type,recovery_forget_flip_logit-0_year_of_birth,recovery_forget_flip_logit-0_address_postcode,recovery_forget_flip_logit-0_social_insurance_number,recovery_forget_flip_logit-0_blood_type
po,20,0,0,1.5,0,0.0,0.0,0.5,0.0,5.2025,0.33,0.6401098901098901,0.06,0,0,6.75,0,0.0,0.0,0.25,0.0,0.0,0.0,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po,8,0,0,4.28125,0,0.0,0.0,0.0625,0.0,224.0675,1.06,0.75,0.18,0,0,9.0,0,0.0,0.0,1.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,
po,24,0,0,1.5,0,0.0,0.0,0.5,0.0,10.1925,0.415,0.6291208791208791,0.0825,0,0,9.0,0,0.0,0.0,0.25,0.0,0.0,0.0,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po,18,0,0,1.5,0,0.0,0.0,0.5,0.0,0.215,0.34,0.6153846153846154,0.05,0,0,4.5,0,0.0,0.0,0.5,0.0,0.0,0.0,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po,12,0,0,1.59375,0,0.0,0.0,0.0625,0.0,64.875,0.4,0.7005494505494505,0.06,0,0,9.0,0,0.0,0.0,1.0,0.0,0.0,0.0,8.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po,6,0,0,5.625,0,0.0,0.0,0.0,0.0,810.8725,2.3375,0.739010989010989,0.4475,0,0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,0.0,,,,,,,,,,,,,,,,,,,,
po,16,0,0,0.25,0,0.0,0.0,0.25,0.0,20.185,0.51,0.3873626373626374,0.055,0,0,6.75,0,0.0,0.0,1.0,0.0,0.0,0.0,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po,2,0,0,3.0625,0,0.0,0.0,0.0,0.0,321.81,1.7325,2.478021978021978,0.155,0,0,6.75,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,
po,22,0,0,1.5,0,0.0,0.0,0.5,0.0,5.2025,0.3325,0.6401098901098901,0.075,0,0,9.0,0,0.0,0.0,0.25,0.0,0.0,0.0,8.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po,14,0,0,1.125,0,0.0,0.0,0.0,0.0,45.045,0.55,0.31868131868131866,0.055,0,0,9.0,0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
