method,epoch,unlearn_retain_sfa_year_of_birth,unlearn_retain_sfa_address_postcode,unlearn_retain_sfa_social_insurance_number,unlearn_retain_sfa_blood_type,recovery_retain_sfa_flip_logit-0_year_of_birth,recovery_retain_sfa_flip_logit-0_address_postcode,recovery_retain_sfa_flip_logit-0_social_insurance_number,recovery_retain_sfa_flip_logit-0_blood_type,unlearn_remain_sfa_year_of_birth,unlearn_remain_sfa_address_postcode,unlearn_remain_sfa_social_insurance_number,unlearn_remain_sfa_blood_type,unlearn_forget_year_of_birth,unlearn_forget_address_postcode,unlearn_forget_social_insurance_number,unlearn_forget_blood_type,recovery_forget_beam1_K10_C3_year_of_birth,recovery_forget_beam1_K10_C3_address_postcode,recovery_forget_beam1_K10_C3_social_insurance_number,recovery_forget_beam1_K10_C3_blood_type,recovery_forget_beam1_K10_C10_year_of_birth,recovery_forget_beam1_K10_C10_address_postcode,recovery_forget_beam1_K10_C10_social_insurance_number,recovery_forget_beam1_K10_C10_blood_type,recovery_forget_beam0_K10_C10_year_of_birth,recovery_forget_beam0_K10_C10_address_postcode,recovery_forget_beam0_K10_C10_social_insurance_number,recovery_forget_beam0_K10_C10_blood_type,recovery_forget_beam0_K10_C3_year_of_birth,recovery_forget_beam0_K10_C3_address_postcode,recovery_forget_beam0_K10_C3_social_insurance_number,recovery_forget_beam0_K10_C3_blood_type,recovery_forget_flip_logit-0_year_of_birth,recovery_forget_flip_logit-0_address_postcode,recovery_forget_flip_logit-0_social_insurance_number,recovery_forget_flip_logit-0_blood_type,recovery_forget_flip_logit-1_year_of_birth,recovery_forget_flip_logit-1_address_postcode,recovery_forget_flip_logit-1_social_insurance_number,recovery_forget_flip_logit-1_blood_type,recovery_forget_flip0_year_of_birth,recovery_forget_flip0_address_postcode,recovery_forget_flip0_social_insurance_number,recovery_forget_flip0_blood_type,recovery_forget_flip1_year_of_birth,recovery_forget_flip1_address_postcode,recovery_forget_flip1_social_insurance_number,recovery_forget_flip1_blood_type,unlearn_retain_sa_year_of_birth,unlearn_retain_sa_address_postcode,unlearn_retain_sa_social_insurance_number,unlearn_retain_sa_blood_type,recovery_retain_sa_flip0_year_of_birth,recovery_retain_sa_flip0_address_postcode,recovery_retain_sa_flip0_social_insurance_number,recovery_retain_sa_flip0_blood_type,unlearn_remain_sa_year_of_birth,unlearn_remain_sa_address_postcode,unlearn_remain_sa_social_insurance_number,unlearn_remain_sa_blood_type,recovery_forget_beam0_K500_C10_year_of_birth,recovery_forget_beam0_K500_C10_address_postcode,recovery_forget_beam0_K500_C10_social_insurance_number,recovery_forget_beam0_K500_C10_blood_type,recovery_forget_grad1_npo_greedy_year_of_birth,recovery_forget_grad1_npo_greedy_address_postcode,recovery_forget_grad1_npo_greedy_social_insurance_number,recovery_forget_grad1_npo_greedy_blood_type,recovery_forget_grad1_K500_C10_npo_oracle_year_of_birth,recovery_forget_grad1_K500_C10_npo_oracle_address_postcode,recovery_forget_grad1_K500_C10_npo_oracle_social_insurance_number,recovery_forget_grad1_K500_C10_npo_oracle_blood_type,recovery_forget_beam1_K1000_C10_year_of_birth,recovery_forget_beam1_K1000_C10_address_postcode,recovery_forget_beam1_K1000_C10_social_insurance_number,recovery_forget_beam1_K1000_C10_blood_type,recovery_forget_grad1_ce_greedy_year_of_birth,recovery_forget_grad1_ce_greedy_address_postcode,recovery_forget_grad1_ce_greedy_social_insurance_number,recovery_forget_grad1_ce_greedy_blood_type,recovery_forget_grad1_K500_C10_ce_oracle_year_of_birth,recovery_forget_grad1_K500_C10_ce_oracle_address_postcode,recovery_forget_grad1_K500_C10_ce_oracle_social_insurance_number,recovery_forget_grad1_K500_C10_ce_oracle_blood_type,recovery_forget_beam1_K100_C10_year_of_birth,recovery_forget_beam1_K100_C10_address_postcode,recovery_forget_beam1_K100_C10_social_insurance_number,recovery_forget_beam1_K100_C10_blood_type,recovery_forget_beam0_K100_C10_year_of_birth,recovery_forget_beam0_K100_C10_address_postcode,recovery_forget_beam0_K100_C10_social_insurance_number,recovery_forget_beam0_K100_C10_blood_type,recovery_forget_grad1_K500_C10_ce_greedy_year_of_birth,recovery_forget_grad1_K500_C10_ce_greedy_address_postcode,recovery_forget_grad1_K500_C10_ce_greedy_social_insurance_number,recovery_forget_grad1_K500_C10_ce_greedy_blood_type,recovery_forget_beam0_K1000_C10_year_of_birth,recovery_forget_beam0_K1000_C10_address_postcode,recovery_forget_beam0_K1000_C10_social_insurance_number,recovery_forget_beam0_K1000_C10_blood_type,recovery_forget_grad1_K500_C10_npo_greedy_year_of_birth,recovery_forget_grad1_K500_C10_npo_greedy_address_postcode,recovery_forget_grad1_K500_C10_npo_greedy_social_insurance_number,recovery_forget_grad1_K500_C10_npo_greedy_blood_type,recovery_forget_grad1_npo_oracle_year_of_birth,recovery_forget_grad1_npo_oracle_address_postcode,recovery_forget_grad1_npo_oracle_social_insurance_number,recovery_forget_grad1_npo_oracle_blood_type,recovery_forget_grad1_ce_oracle_year_of_birth,recovery_forget_grad1_ce_oracle_address_postcode,recovery_forget_grad1_ce_oracle_social_insurance_number,recovery_forget_grad1_ce_oracle_blood_type,recovery_forget_beam1_K500_C10_year_of_birth,recovery_forget_beam1_K500_C10_address_postcode,recovery_forget_beam1_K500_C10_social_insurance_number,recovery_forget_beam1_K500_C10_blood_type
grad_ascent,12,0.0,0.0,8.25,0.0,0.0,0.0,8.0,0.0,1343.24,5.61,8.105263157894736,1.0,0,0,8.0,0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,18,0.0,0.0,8.25,0.0,0.0,0.0,8.0,0.0,1343.24,5.61,8.105263157894736,1.0,0,0,8.0,0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2625,0.25,0.8394736842105263,0.0375,0,0,5.0,0,0.0,0.0,6.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,4,0.0,0.0,6.9375,0.0,0.0,0.0,6.1875,0.0,24.28,2.7575,6.505263157894737,0.4375,0,0,7.0,0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,22,0.0,0.0,8.25,0.0,0.0,0.0,8.0,0.0,1343.24,5.61,8.105263157894736,1.0,0,0,8.0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,14,0.0,0.0,8.25,0.0,0.0,0.0,8.0,0.0,1343.24,5.61,8.105263157894736,1.0,0,0,8.0,0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,10,0.0,0.0,8.25,0.0,0.0,0.0,8.25,0.0,1343.24,5.61,8.105263157894736,1.0,0,0,8.0,0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,8,0.0,0.0,8.25,0.0,0.0,0.0,8.25,0.0,1343.24,5.61,8.105263157894736,1.0,0,0,8.0,0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,20,0.0,0.0,8.25,0.0,0.0,0.0,8.0,0.0,1343.24,5.61,8.105263157894736,1.0,0,0,8.0,0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grad_ascent,6,0.0,0.0,8.5,0.0,0.0,0.0,8.1875,0.0,1338.73,5.6575,8.073684210526316,1.0,0,0,9.0,0,0.0,0.0,6.5,0.0,0.0,0.0,6.75,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
