method,epoch,unlearn_remain_sa_year_of_birth,unlearn_remain_sa_address_postcode,unlearn_remain_sa_social_insurance_number,unlearn_remain_sa_blood_type,unlearn_retain_sa_year_of_birth,unlearn_retain_sa_address_postcode,unlearn_retain_sa_social_insurance_number,unlearn_retain_sa_blood_type,recovery_retain_sa_flip_logit-0_year_of_birth,recovery_retain_sa_flip_logit-0_address_postcode,recovery_retain_sa_flip_logit-0_social_insurance_number,recovery_retain_sa_flip_logit-0_blood_type,unlearn_forget_year_of_birth,unlearn_forget_address_postcode,unlearn_forget_social_insurance_number,unlearn_forget_blood_type,recovery_forget_flip_logit-1_year_of_birth,recovery_forget_flip_logit-1_address_postcode,recovery_forget_flip_logit-1_social_insurance_number,recovery_forget_flip_logit-1_blood_type,recovery_forget_beam1_K10_C10_year_of_birth,recovery_forget_beam1_K10_C10_address_postcode,recovery_forget_beam1_K10_C10_social_insurance_number,recovery_forget_beam1_K10_C10_blood_type,recovery_forget_beam0_K10_C10_year_of_birth,recovery_forget_beam0_K10_C10_address_postcode,recovery_forget_beam0_K10_C10_social_insurance_number,recovery_forget_beam0_K10_C10_blood_type,recovery_forget_beam0_K10_C3_year_of_birth,recovery_forget_beam0_K10_C3_address_postcode,recovery_forget_beam0_K10_C3_social_insurance_number,recovery_forget_beam0_K10_C3_blood_type,recovery_forget_flip_logit-0_year_of_birth,recovery_forget_flip_logit-0_address_postcode,recovery_forget_flip_logit-0_social_insurance_number,recovery_forget_flip_logit-0_blood_type,recovery_forget_beam1_K10_C3_year_of_birth,recovery_forget_beam1_K10_C3_address_postcode,recovery_forget_beam1_K10_C3_social_insurance_number,recovery_forget_beam1_K10_C3_blood_type,recovery_forget_flip0_year_of_birth,recovery_forget_flip0_address_postcode,recovery_forget_flip0_social_insurance_number,recovery_forget_flip0_blood_type,recovery_forget_flip1_year_of_birth,recovery_forget_flip1_address_postcode,recovery_forget_flip1_social_insurance_number,recovery_forget_flip1_blood_type,recovery_retain_sa_flip0_year_of_birth,recovery_retain_sa_flip0_address_postcode,recovery_retain_sa_flip0_social_insurance_number,recovery_retain_sa_flip0_blood_type
KL,10,3750.2575,5.775,8.342105263157896,1.0,0,0,8.3125,0,0.0,0.0,6.75,0.0,0,0,8.0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.25,0.0,,,,,,,,,,,,
KL,8,1090.2575,2.955,7.542105263157895,0.35,0,0,5.3125,0,0.0,0.0,4.0625,0.0,0,0,8.5,0,0.0,0.0,5.25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
KL,14,1959.5125,5.995,8.957894736842105,0.9975,0,0,8.0,0,0.0,0.0,2.5625,0.0,0,0,8.75,0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
KL,22,1196.59,5.775,8.123684210526315,0.4825,0,0,6.1875,0,0.0,0.0,4.8125,0.0,0,0,9.0,0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,
KL,2,0.15,0.1525,0.6552631578947369,0.0225,0,0,0.875,0,0.0,0.0,0.8125,0.0,0,0,8.0,0,0.0,0.0,7.75,0.0,0.0,0.0,5.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.5,0.0,,,,,,,,,,,,
KL,6,844.4775,4.075,7.442105263157894,0.455,0,0,5.8125,0,0.0,0.0,5.5,0.0,0,0,8.0,0,0.0,0.0,5.25,0.0,0.0,0.0,3.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.5,0.0,,,,,,,,,,,,
KL,16,1900.7225,5.985,8.98421052631579,0.99,0,0,8.3125,0,0.0,0.0,3.1875,0.0,0,0,9.0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.75,0.0,0.0,0.0,7.75,0.0,0.0,0.0,1.25,0.0,,,,,,,,,,,,
KL,12,2381.1275,5.98,8.889473684210527,1.0,0,0,8.9375,0,0.0,0.0,5.5,0.0,0,0,8.25,0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.75,0.0,,,,,,,,,,,,
KL,24,834.3175,3.32,8.828947368421053,0.2825,0,0,7.25,0,0.0,0.0,5.4375,0.0,0,0,9.0,0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,
KL,18,1517.72,5.84,8.81842105263158,0.79,0,0,6.9375,0,0.0,0.0,2.5,0.0,0,0,9.0,0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,6.25,0.0,0.0,0.0,6.75,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,
KL,4,0.9825,0.91,5.378947368421053,0.0375,0,0,3.875,0,0.0,0.0,4.4375,0.0,0,0,8.0,0,0.0,0.0,4.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,,,,,
KL,20,1240.525,5.7925,8.23157894736842,0.4975,0,0,6.5625,0,0.0,0.0,3.8125,0.0,0,0,9.0,0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,
grad_ascent,8,2529.2425,5.605,7.921052631578948,1.0,0,0,7.5,0,0.0,0.0,7.1875,0.0,0,0,8.0,0,0.0,0.0,5.25,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.25,0.0,,,,,,,,,,,,
grad_ascent,18,1343.24,5.61,7.9526315789473685,1.0,0,0,7.0625,0,0.0,0.0,7.1875,0.0,0,0,9.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
grad_ascent,2,0.1975,0.165,1.0868421052631578,0.02,0,0,0.875,0,0.0,0.0,0.875,0.0,0,0,7.0,0,0.0,0.0,7.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,,,,,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,
grad_ascent,10,1343.24,5.595,7.9605263157894735,1.0,0,0,7.0,0,0.0,0.0,7.0,0.0,0,0,9.0,0,0.0,0.0,6.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.75,0.0,,,,,,,,,,,,
grad_ascent,6,649.1125,3.685,7.46578947368421,0.315,0,0,5.6875,0,0.0,0.0,5.75,0.0,0,0,8.25,0,0.0,0.0,5.25,0.0,0.0,0.0,4.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.25,0.0,,,,,,,,,,,,
grad_ascent,20,1343.24,5.61,7.957894736842105,1.0,0,0,7.0,0,0.0,0.0,7.0,0.0,0,0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
grad_ascent,24,1343.24,5.61,7.955263157894737,1.0,0,0,7.0625,0,0.0,0.0,6.9375,0.0,0,0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
